,Date,Price,Open,High,Low,Vol.,Change %
0,2023-03-08,1553.49,1561.79,1569.7,1548.98,498570,-0.53
1,2023-03-07,1561.78,1565.84,1580.95,1536.31,460100,-0.26
2,2023-03-06,1565.84,1564.36,1581.13,1555.43,322160,0.09
3,2023-03-05,1564.37,1566.73,1587.95,1556.84,313010,-0.15
4,2023-03-04,1566.73,1569.45,1577.02,1550.1,247020,-0.14
5,2023-03-03,1568.89,1647.86,1649.19,1547.61,783740,-4.76
6,2023-03-02,1647.38,1666.09,1677.45,1620.2,440630,-1.12
7,2023-03-01,1666.09,1604.69,1668.55,1595.4,497120,3.83
8,2023-02-28,1604.69,1633.66,1646.33,1598.67,411490,-1.77
9,2023-02-27,1633.66,1641.59,1664.98,1609.82,458530,-0.48
10,2023-02-26,1641.6,1594.66,1648.77,1588.65,326580,2.94
11,2023-02-25,1594.66,1608.24,1608.62,1562.1,309290,-0.84
12,2023-02-24,1608.24,1650.52,1663.82,1579.68,548070,-2.56
13,2023-02-23,1650.52,1643.39,1678.2,1630.94,529750,0.43
14,2023-02-22,1643.39,1659.41,1666.39,1600.79,560400,-0.97
15,2023-02-21,1659.41,1703.29,1716.35,1637.16,554520,-2.58
16,2023-02-20,1703.27,1681.49,1719.1,1651.54,478590,1.29
17,2023-02-19,1681.52,1691.62,1722.28,1670.97,427000,-0.6
18,2023-02-18,1691.62,1693.96,1708.87,1681.17,283510,-0.14
19,2023-02-17,1693.96,1640.66,1720.06,1631.92,617210,3.25
20,2023-02-16,1640.66,1675.43,1738.87,1634.97,894270,-2.08
21,2023-02-15,1675.43,1555.45,1676.94,1542.8,627070,7.71
22,2023-02-14,1555.46,1505.85,1565.2,1494.3,705280,3.29
23,2023-02-13,1505.84,1515.44,1525.56,1464.1,681850,-0.63
24,2023-02-12,1515.44,1538.34,1547.3,1495.05,302730,-1.49
25,2023-02-11,1538.34,1513.12,1542.64,1508.07,306240,1.62
26,2023-02-10,1513.82,1545.35,1554.19,1499.49,523330,-2.04
27,2023-02-09,1545.35,1650.97,1655.96,1530.98,702210,-6.4
28,2023-02-08,1650.99,1671.39,1694.28,1631.15,447570,-1.22
29,2023-02-07,1671.4,1613.72,1676.83,1613.2,481910,3.57
30,2023-02-06,1613.72,1629.44,1657.75,1606.59,401030,-0.96
31,2023-02-05,1629.44,1666.9,1671.88,1612.7,435140,-2.25
32,2023-02-04,1666.9,1663.78,1694.58,1646.11,328660,0.19
